Mobile,Colour,Ram,Storage,Amazon_Price
REDMI 9,SKY BLUE,4,64,8499
REDMI 9 POWER,BLAZING BLUE,4,64,10499
REDMI 9A,NATURE GREEN,2,32,6799
REDMI 9 PRIME,MATTE BLACK,4,64,9999
REDMI NOTE 10S,DEEP SEA BLUE,6,64,12999
REDMI NOTE 10,AQUA GREEN,4,64,13999
REDMI 9A,MIDNIGHT BLACK,2,32,6799
REDMI 9 PRIME,MINT GREEN,4,64,9999
REDMI 9,SPORTY ORANGE,4,64,8499
REDMI NOTE 10S,COSMIC PURPLE,6,64,12999
REDMI 9 PRIME,SPACE BLUE,4,64,9999
REDMI NOTE 10S,SHADOW BLACK,6,64,12999
